slug,unit_index,unit_label,order
desu,1,Your first sentences: X is Y,1
wa-2,1,Your first sentences: X is Y,2
wa-desu,1,Your first sentences: X is Y,3
ka,1,Your first sentences: X is Y,4
no-3,1,Your first sentences: X is Y,5
mo,1,Your first sentences: X is Y,6
ne,1,Your first sentences: X is Y,7
yo,1,Your first sentences: X is Y,8
ga-2,2,"Mark who, what, where, and when",1
o,2,"Mark who, what, where, and when",2
ni-2,2,"Mark who, what, where, and when",3
ni-3,2,"Mark who, what, where, and when",4
e,2,"Mark who, what, where, and when",5
de,2,"Mark who, what, where, and when",6
to-2,2,"Mark who, what, where, and when",7
kara-3,2,"Mark who, what, where, and when",8
made,2,"Mark who, what, where, and when",9
verb-classes,3,Make verbs polite; say what there is,1
masu-form,3,Make verbs polite; say what there is,2
kudasai,3,Make verbs polite; say what there is,3
ga-aru,3,Make verbs polite; say what there is,4
ga-iru,3,Make verbs polite; say what there is,5
da,5,Plain (casual) form,1
wa-da,5,Plain (casual) form,2
janai,5,Plain (casual) form,3
datta,5,Plain (casual) form,4
janakatta,5,Plain (casual) form,5
nai,5,Plain (casual) form,6
ta-form,5,Plain (casual) form,7
te,6,Connect and continue actions with て,1
de-3,6,Connect and continue actions with て,2
te-kudasai,6,Connect and continue actions with て,3
te-iru,6,Connect and continue actions with て,4
te-kara,6,Connect and continue actions with て,5
te-mo-ii,6,Connect and continue actions with て,6
te-wa-ikenai,6,Connect and continue actions with て,7
te-shimau,6,Connect and continue actions with て,8
te-miru,6,Connect and continue actions with て,9
ageru,7,"Give, receive, and ask for help",1
kureru,7,"Give, receive, and ask for help",2
ageru-2,7,"Give, receive, and ask for help",3
kureru-2,7,"Give, receive, and ask for help",4
morau,7,"Give, receive, and ask for help",5
tai,8,"Want, invite, and express uncertainty",1
hoshii,8,"Want, invite, and express uncertainty",2
volitional-form,8,"Want, invite, and express uncertainty",3
darou,8,"Want, invite, and express uncertainty",4
deshou,8,"Want, invite, and express uncertainty",5
kamoshirenai,8,"Want, invite, and express uncertainty",6
hazu,8,"Want, invite, and express uncertainty",7
to-conditional,9,If and when: the four conditionals,1
tara,9,If and when: the four conditionals,2
ba,9,If and when: the four conditionals,3
nara,9,If and when: the four conditionals,4
kara,10,"Join ideas: reason, contrast, and time",1
node,10,"Join ideas: reason, contrast, and time",2
kedo,10,"Join ideas: reason, contrast, and time",3
ga-3,10,"Join ideas: reason, contrast, and time",4
noni,10,"Join ideas: reason, contrast, and time",5
nagara,10,"Join ideas: reason, contrast, and time",6
toki,10,"Join ideas: reason, contrast, and time",7
mae-ni,10,"Join ideas: reason, contrast, and time",8
ato-de,10,"Join ideas: reason, contrast, and time",9
koto,11,"Turn actions into things, compare, and change",1
no-ga-suki,11,"Turn actions into things, compare, and change",2
yori,11,"Turn actions into things, compare, and change",3
no-hou-ga,11,"Turn actions into things, compare, and change",4
yori-no-hou-ga,11,"Turn actions into things, compare, and change",5
ichiban,11,"Turn actions into things, compare, and change",6
ni-naru,11,"Turn actions into things, compare, and change",7
ga-arimasu,12,Everyday descriptions & reference I,1
kono,12,Everyday descriptions & reference I,2
san,12,Everyday descriptions & reference I,3
naru,12,Everyday descriptions & reference I,4
kuru,12,Everyday descriptions & reference I,5
no-ga-jouzu,12,Everyday descriptions & reference I,6
no-ga-heta,12,Everyday descriptions & reference I,7
chan,12,Everyday descriptions & reference I,8
tachi,12,Everyday descriptions & reference I,9
donna,12,Everyday descriptions & reference I,10
o-tsukatte,12,Everyday descriptions & reference I,11
mae,12,Everyday descriptions & reference I,12
sukida,12,Everyday descriptions & reference I,13
sukunai,12,Everyday descriptions & reference I,14
shiru,12,Everyday descriptions & reference I,15
iru-4,12,Everyday descriptions & reference I,16
kata,12,Everyday descriptions & reference I,17
goro,12,Everyday descriptions & reference I,18
konna,12,Everyday descriptions & reference I,19
ni-suru,12,Everyday descriptions & reference I,20
relative-clause,12,Everyday descriptions & reference I,21
de-gozaimasu,13,Everyday descriptions & reference II,1
wa-no-hitotsu-da,13,Everyday descriptions & reference II,2
to-iu-koto,13,Everyday descriptions & reference II,3
no,13,Everyday descriptions & reference II,4
sa,13,Everyday descriptions & reference II,5
tokoro,13,Everyday descriptions & reference II,6
no-koto,13,Everyday descriptions & reference II,7
no-wa-da,13,Everyday descriptions & reference II,8
mono,13,Everyday descriptions & reference II,9
ga-suru,13,Everyday descriptions & reference II,10
ni-ki-ga-tsuku,13,Everyday descriptions & reference II,11
gata,13,Everyday descriptions & reference II,12
me,13,Everyday descriptions & reference II,13
kan,13,Everyday descriptions & reference II,14
kou-iu,13,Everyday descriptions & reference II,15
kono-youna,13,Everyday descriptions & reference II,16
sashiageru,13,Everyday descriptions & reference II,17
sou-iu,13,Everyday descriptions & reference II,18
dono-youna,13,Everyday descriptions & reference II,19
mama,13,Everyday descriptions & reference II,20
mama-de,13,Everyday descriptions & reference II,21
yaru-3,13,Everyday descriptions & reference II,22
ra,13,Everyday descriptions & reference II,23
nandemo,13,Everyday descriptions & reference II,24
kun,13,Everyday descriptions & reference II,25
imperative,13,Everyday descriptions & reference II,26
sukunakunai,13,Everyday descriptions & reference II,27
sama,13,Everyday descriptions & reference II,28
jidoushi-tadoushi,13,Everyday descriptions & reference II,29
mieru,13,Everyday descriptions & reference II,30
mada-te-imasen,14,"Everyday actions, states & change",1
koto-ga-aru,14,"Everyday actions, states & change",2
you-to-suru,14,"Everyday actions, states & change",3
youni-suru,14,"Everyday actions, states & change",4
youni-naru,14,"Everyday actions, states & change",5
shimau,14,"Everyday actions, states & change",6
rareru-2,14,"Everyday actions, states & change",7
causative-form,14,"Everyday actions, states & change",8
seru,14,"Everyday actions, states & change",9
saseru,14,"Everyday actions, states & change",10
saserareru,14,"Everyday actions, states & change",11
sasete-kudasai,14,"Everyday actions, states & change",12
ta-tokoro,14,"Everyday actions, states & change",13
ta-bakari,14,"Everyday actions, states & change",14
iku,14,"Everyday actions, states & change",15
te-ita,14,"Everyday actions, states & change",16
teiru-tokoro,14,"Everyday actions, states & change",17
kuru-2,14,"Everyday actions, states & change",18
toku,14,"Everyday actions, states & change",19
ru-tokoro-da,14,"Everyday actions, states & change",20
dasu,14,"Everyday actions, states & change",21
hajimeru,14,"Everyday actions, states & change",22
tsuzukeru,14,"Everyday actions, states & change",23
te-aru,14,"Everyday actions, states & change",24
te-oku,14,"Everyday actions, states & change",25
naku-naru,14,"Everyday actions, states & change",26
owaru,14,"Everyday actions, states & change",27
reru,14,"Everyday actions, states & change",28
mirareru,14,"Everyday actions, states & change",29
nai-de-kudasai,15,"Everyday intention, ability & interaction I",1
ga-hoshii,15,"Everyday intention, ability & interaction I",2
ta-hou-ga-ii,15,"Everyday intention, ability & interaction I",3
nai-hou-ga-ii,15,"Everyday intention, ability & interaction I",4
naku-temo-ii,15,"Everyday intention, ability & interaction I",5
mashou-ka,15,"Everyday intention, ability & interaction I",6
masen-ka,15,"Everyday intention, ability & interaction I",7
te-wa-ikemasen,15,"Everyday intention, ability & interaction I",8
nakute-wa-ikenai,15,"Everyday intention, ability & interaction I",9
nakute-wa-naranai,15,"Everyday intention, ability & interaction I",10
no-desu,15,"Everyday intention, ability & interaction I",11
mashou,15,"Everyday intention, ability & interaction I",12
n-desu,15,"Everyday intention, ability & interaction I",13
to-quotative,15,"Everyday intention, ability & interaction I",14
sugiru,15,"Everyday intention, ability & interaction I",15
cha-ikenai,15,"Everyday intention, ability & interaction I",16
naku-cha,15,"Everyday intention, ability & interaction I",17
douzo,15,"Everyday intention, ability & interaction I",18
yasui,15,"Everyday intention, ability & interaction I",19
itadaku,15,"Everyday intention, ability & interaction I",20
you-to-omou,15,"Everyday intention, ability & interaction I",21
hou-ga-ii,15,"Everyday intention, ability & interaction I",22
koto-ga-dekiru,15,"Everyday intention, ability & interaction I",23
tsumori,15,"Everyday intention, ability & interaction I",24
nai-to-ikenai,15,"Everyday intention, ability & interaction I",25
nakereba-ikenai,15,"Everyday intention, ability & interaction I",26
nakereba-naranai,15,"Everyday intention, ability & interaction I",27
no-da,15,"Everyday intention, ability & interaction I",28
youda,15,"Everyday intention, ability & interaction I",29
to-omou,15,"Everyday intention, ability & interaction I",30
to-iu,15,"Everyday intention, ability & interaction I",31
garu,15,"Everyday intention, ability & interaction I",32
ku-suru,15,"Everyday intention, ability & interaction I",33
tagaru,15,"Everyday intention, ability & interaction I",34
chimau,16,"Everyday intention, ability & interaction II",1
chau,16,"Everyday intention, ability & interaction II",2
te-itadakemasen-ka,16,"Everyday intention, ability & interaction II",3
te-kurenai,16,"Everyday intention, ability & interaction II",4
yaru,16,"Everyday intention, ability & interaction II",5
ka-suru,16,"Everyday intention, ability & interaction II",6
gozaimasu,16,"Everyday intention, ability & interaction II",7
te-itadaku,16,"Everyday intention, ability & interaction II",8
te-kudasaru,16,"Everyday intention, ability & interaction II",9
nikui,16,"Everyday intention, ability & interaction II",10
no-youna,16,"Everyday intention, ability & interaction II",11
ma-prefix,16,"Everyday intention, ability & interaction II",12
ga-hitsuyou,16,"Everyday intention, ability & interaction II",13
ga-mirareru,16,"Everyday intention, ability & interaction II",14
koto-ga-aru-2,16,"Everyday intention, ability & interaction II",15
janai-ka,16,"Everyday intention, ability & interaction II",16
souda-2,16,"Everyday intention, ability & interaction II",17
sou-ni,16,"Everyday intention, ability & interaction II",18
tara-ii-desu-ka,16,"Everyday intention, ability & interaction II",19
tara-dou,16,"Everyday intention, ability & interaction II",20
dewa-nai-ka,16,"Everyday intention, ability & interaction II",21
to-ii,16,"Everyday intention, ability & interaction II",22
to-sarete-iru,16,"Everyday intention, ability & interaction II",23
to-kangaerarete-iru,16,"Everyday intention, ability & interaction II",24
to-ittemo-ii,16,"Everyday intention, ability & interaction II",25
to-iwarete-iru,16,"Everyday intention, ability & interaction II",26
naito,16,"Everyday intention, ability & interaction II",27
ni-mieru,16,"Everyday intention, ability & interaction II",28
no-darou-ka,16,"Everyday intention, ability & interaction II",29
hazu-ga-nai,16,"Everyday intention, ability & interaction II",30
hazu-da,16,"Everyday intention, ability & interaction II",31
ba-yokatta,16,"Everyday intention, ability & interaction II",32
mitai,16,"Everyday intention, ability & interaction II",33
mitai-ni,17,"Everyday intention, ability & interaction III",1
yona,17,"Everyday intention, ability & interaction III",2
you-ni-te-hoshii,17,"Everyday intention, ability & interaction III",3
rareru-3,17,"Everyday intention, ability & interaction III",4
yotei-da,17,"Everyday intention, ability & interaction III",5
hitsuyou-ga-aru,17,"Everyday intention, ability & interaction III",6
ii,17,"Everyday intention, ability & interaction III",7
koto-ni-suru,17,"Everyday intention, ability & interaction III",8
koto-ni-naru,17,"Everyday intention, ability & interaction III",9
koto-ni-kimeru,17,"Everyday intention, ability & interaction III",10
tara-do-desuka,17,"Everyday intention, ability & interaction III",11
daro,17,"Everyday intention, ability & interaction III",12
te-hoshii,17,"Everyday intention, ability & interaction III",13
te-moraitai,17,"Everyday intention, ability & interaction III",14
te-yokatta,17,"Everyday intention, ability & interaction III",15
nakute-wa,17,"Everyday intention, ability & interaction III",16
nasai,17,"Everyday intention, ability & interaction III",17
mitaida,17,"Everyday intention, ability & interaction III",18
rashii,17,"Everyday intention, ability & interaction III",19
rarenai,17,"Everyday intention, ability & interaction III",20
kikoeru,17,"Everyday intention, ability & interaction III",21
to-kiita,17,"Everyday intention, ability & interaction III",22
souda,17,"Everyday intention, ability & interaction III",23
itashimasu,17,"Everyday intention, ability & interaction III",24
itasu,17,"Everyday intention, ability & interaction III",25
irassharu,17,"Everyday intention, ability & interaction III",26
o-vmasu-kudasai,17,"Everyday intention, ability & interaction III",27
o-suru-2,17,"Everyday intention, ability & interaction III",28
o-ni-naru,17,"Everyday intention, ability & interaction III",29
kudasaru,17,"Everyday intention, ability & interaction III",30
nasaru,17,"Everyday intention, ability & interaction III",31
oi,17,"Everyday intention, ability & interaction III",32
te-ne,17,"Everyday intention, ability & interaction III",33
kara-made,18,"Everyday particles, quantity & emphasis I",1
dake,18,"Everyday particles, quantity & emphasis I",2
wa-ga,18,"Everyday particles, quantity & emphasis I",3
he-iku,18,"Everyday particles, quantity & emphasis I",4
shika,18,"Everyday particles, quantity & emphasis I",5
ni,18,"Everyday particles, quantity & emphasis I",6
ni-5,18,"Everyday particles, quantity & emphasis I",7
no-2,18,"Everyday particles, quantity & emphasis I",8
no-naka-de-ga-ichiban,18,"Everyday particles, quantity & emphasis I",9
ka-2,18,"Everyday particles, quantity & emphasis I",10
nani-ka-nani-mo,18,"Everyday particles, quantity & emphasis I",11
ni-4,18,"Everyday particles, quantity & emphasis I",12
yo-ne,18,"Everyday particles, quantity & emphasis I",13
dareka-dokoka,18,"Everyday particles, quantity & emphasis I",14
ka-dou-ka,18,"Everyday particles, quantity & emphasis I",15
tari-tari,18,"Everyday particles, quantity & emphasis I",16
tari-tari-suru,18,"Everyday particles, quantity & emphasis I",17
de-mo,18,"Everyday particles, quantity & emphasis I",18
made-ni,18,"Everyday particles, quantity & emphasis I",19
ka-ka,18,"Everyday particles, quantity & emphasis I",20
counter,18,"Everyday particles, quantity & emphasis I",21
kana,19,"Everyday particles, quantity & emphasis II",1
kara-tsukuru,19,"Everyday particles, quantity & emphasis II",2
zutsu,19,"Everyday particles, quantity & emphasis II",3
de-dekiru,19,"Everyday particles, quantity & emphasis II",4
to-to-dochira-ga,19,"Everyday particles, quantity & emphasis II",5
toka-toka,19,"Everyday particles, quantity & emphasis II",6
no-naka-de,19,"Everyday particles, quantity & emphasis II",7
mo-mo,19,"Everyday particles, quantity & emphasis II",8
igai,19,"Everyday particles, quantity & emphasis II",9
hou-ga,19,"Everyday particles, quantity & emphasis II",10
kashira,19,"Everyday particles, quantity & emphasis II",11
toka,19,"Everyday particles, quantity & emphasis II",12
na-2,19,"Everyday particles, quantity & emphasis II",13
naa,19,"Everyday particles, quantity & emphasis II",14
nado,19,"Everyday particles, quantity & emphasis II",15
mo-2,19,"Everyday particles, quantity & emphasis II",16
ya,19,"Everyday particles, quantity & emphasis II",17
o-2,19,"Everyday particles, quantity & emphasis II",18
o-3,19,"Everyday particles, quantity & emphasis II",19
mae-kara,19,"Everyday particles, quantity & emphasis II",20
kute,20,Everyday connections & conversation I,1
ni-iku,20,Everyday connections & conversation I,2
soshite,20,Everyday connections & conversation I,3
sore-kara,20,Everyday connections & conversation I,4
mata,20,Everyday connections & conversation I,5
sugu,20,Everyday connections & conversation I,6
totemo,20,Everyday connections & conversation I,7
mada,20,Everyday connections & conversation I,8
mou,20,Everyday connections & conversation I,9
motto,20,Everyday connections & conversation I,10
issho-ni,20,Everyday connections & conversation I,11
amari,20,Everyday connections & conversation I,12
takusan,20,Everyday connections & conversation I,13
dou,20,Everyday connections & conversation I,14
doushite,20,Everyday connections & conversation I,15
douyatte,20,Everyday connections & conversation I,16
nakereba,20,Everyday connections & conversation I,17
ato-de-2,20,Everyday connections & conversation I,18
te-mo,20,Everyday connections & conversation I,19
baai,20,Everyday connections & conversation I,20
shikashi,20,Everyday connections & conversation I,21
dakara,20,Everyday connections & conversation I,22
nai-de,20,Everyday connections & conversation I,23
nakute,20,Everyday connections & conversation I,24
no-tame-ni,20,Everyday connections & conversation I,25
youni,20,Everyday connections & conversation I,26
zenzen,20,Everyday connections & conversation I,27
nakattara,20,Everyday connections & conversation I,28
no-nara,20,Everyday connections & conversation I,29
shi-shi,20,Everyday connections & conversation I,30
dake-de,20,Everyday connections & conversation I,31
te-iru-aida-ni,20,Everyday connections & conversation I,32
te-kurete-arigatou,20,Everyday connections & conversation I,33
te-sumimasen,20,Everyday connections & conversation I,34
you-ni-inoru,20,Everyday connections & conversation I,35
ndakedo,20,Everyday connections & conversation I,36
baai-wa,20,Everyday connections & conversation I,37
aida-ni,21,Everyday connections & conversation II,1
uchi-ni,21,Everyday connections & conversation II,2
keredo,21,Everyday connections & conversation II,3
shi,21,Everyday connections & conversation II,4
sore-de,21,Everyday connections & conversation II,5
sore-de-wa,21,Everyday connections & conversation II,6
sore-demo,21,Everyday connections & conversation II,7
sore-nara,21,Everyday connections & conversation II,8
dakedo,21,Everyday connections & conversation II,9
to-issho-ni,21,Everyday connections & conversation II,10
nakute-mo,21,Everyday connections & conversation II,11
ni-tsuite-wa,21,Everyday connections & conversation II,12
no-baai-wa,21,Everyday connections & conversation II,13
anmari,21,Everyday connections & conversation II,14
ikaga,21,Everyday connections & conversation II,15
ikura,21,Everyday connections & conversation II,16
itsu-de-mo,21,Everyday connections & conversation II,17
kitto,21,Everyday connections & conversation II,18
sakki,21,Everyday connections & conversation II,19
zutto,21,Everyday connections & conversation II,20
sonna-ni,21,Everyday connections & conversation II,21
dandan,21,Everyday connections & conversation II,22
dondon,21,Everyday connections & conversation II,23
nakanaka-nai,21,Everyday connections & conversation II,24
naru-beku,21,Everyday connections & conversation II,25
hoka-ni-mo,21,Everyday connections & conversation II,26
hotondo,21,Everyday connections & conversation II,27
mo-sugu,21,Everyday connections & conversation II,28
moshi-mo,21,Everyday connections & conversation II,29
ichido,21,Everyday connections & conversation II,30
nani-mo-nai,21,Everyday connections & conversation II,31
zenzen-nai,21,Everyday connections & conversation II,32
taihen,21,Everyday connections & conversation II,33
kanarazu,21,Everyday connections & conversation II,34
hontou-ni,21,Everyday connections & conversation II,35
hijouni,21,Everyday connections & conversation II,36
tame-ni,22,Linking ideas I,1
ga-nakereba,22,Linking ideas I,2
sae-ba,22,Linking ideas I,3
te-kara-de-nai-to,22,Linking ideas I,4
de-nai-to,22,Linking ideas I,5
de-nakattara,22,Linking ideas I,6
de-nakute-wa,22,Linking ideas I,7
de-nakereba,22,Linking ideas I,8
