term,base,n_rows,volumes,pages,n_senses_for_base,terms_sharing_base,glosses,section,ref_source,qa_flags,risk
aete,aete,1,A,3,0,,,A,v1,,
ageku (ni),ageku (ni),1,A,7,0,,,A,v1,,
ageru ',ageru,1,B,,2,ageru '|ageru²,""" s.o. gives s.t. to s.o . """,A,v1,,collision
ageru²,ageru,1,B,,2,ageru '|ageru²,""" s.o. gives s.o. a favor by doing s.t . """,A,v1,,collision
aida (ni),aida (ni),1,B,,0,,,A,v1,,
aida wa,aida wa,1,,,0,,<kagiri '>,A,,missing_ref,missing_only
akiraka ni,akiraka ni,1,A,254,0,,<miru kara ni>,A,v1,,
akumade mo,akumade mo,1,A,11,0,,,A,v1,,
amari,amari,2,B|I,,2,,""" because of too much "" ;; "" s.t. is not great """,A,v1,,collision
amari~nai,amari~nai,1,A,252,0,,<metta ni~nai>,A,v1,,
anagachi~nai,anagachi~nai,1,A,14,0,,,A,v1,,
angai,angai,1,A,123,0,,<kekkō>,A,v2,,
anmari,anmari,1,B,,0,,<amari>,A,v1,,
an no jō,an no jō,1,A,111,0,,<hatashite>,A,v1,,
aru,aru,1,B,,2,aru|aru²,""" exist """,A,v1,,collision
aru²,aru,1,B,,2,aru|aru²,""" s.t. has been done """,A,v1,,collision
aruiwa,aruiwa,4,A,16|248|285|307,0,,<mata> ;; <moshikuwa> ;; <naishi (wa)>,A,v1,,
ǎ shita,ǎ shita,1,I,,0,,<kō shita>,A,v1,,
atakamo,atakamo,2,A,187|21,0,,<ka no yōni>,A,v1,,
atari,atari,1,I,,0,,<ni tsuki>,A,v3,,
atarimae da,atarimae da,1,A,263,0,,<mono de wa nai>,A,v1,,
ato,ato,1,A,540,0,,<sara ni>,A,v1,,
ato (de),ato (de),1,A,562,0,,<sue (ni)>,A,v1,,
ato de,ato de,1,B,,0,,,A,v1,,
ba,ba,1,B,,0,,,B,v1,,
ba'ai,ba'ai,1,,,0,,<sai (ni)>,B,,missing_ref,missing_only
~ba~hodo,~ba~hodo,2,I,,0,,<ni tsurete/tsure>,B,v1,,
ba~hodo,ba~hodo,1,I,,0,,<hodo>,B,v1,,
~2 ba~hodo yoi/ii,ba~hodo yoi/ii,1,A,398,0,,<ni koshita koto wa nai>,B,v1,,collision
bakari,bakari,1,B,,0,,,B,v1,,
bakari da,bakari da,1,A,146,0,,<ippō (da)>,B,v1,,
bakari de naku~(mo),bakari de naku~(mo),1,A,240,0,,<kuwaete>,B,v1,,
bakari de (wa) naku~(mo),bakari de (wa) naku~(mo),2,B|I,,0,bakari de (wa) naku~(mo)|~2 bakari de (wa) naku~(mo),<~bakari ka 2 (sae)> ;; <~dake de (wa) naku~(mo)>,B,v1,,collision
~2 bakari de (wa) naku~(mo),bakari de (wa) naku~(mo),1,I,,0,bakari de (wa) naku~(mo)|~2 bakari de (wa) naku~(mo),<ue (ni)>,B,v3,,collision
~bakari de (wa) naku~(mo),~bakari de (wa) naku~(mo),1,A,8,0,,<wa iu made mo naku>,B,v2,,
~bakari ka~(sae),~bakari ka~(sae),1,I,,0,,,B,v1,,
bakari ni,bakari ni,1,A,25,0,,,B,v1,,
bakari wa irarenai,bakari wa irarenai,1,,,0,,,B,,missing_ref,missing_only
ba koso,ba koso,1,A,27,0,,,B,v1,,
ba yokatta,ba yokatta,1,B,,0,,,B,v1,,
bekarazu/bekarazaru,bekarazu/bekarazaru,1,A,29,0,,,B,v1,,
bekida,bekida,1,I,,0,,,B,v1,,
beki de wa nai,beki de wa nai,1,A,263,0,,<mono de wa nai>,B,v1,,
beki ka,beki ka,1,A,268,0,,<mono ka '>,B,v1,,
beku,beku,1,A,32,0,,,B,v1,,
beku mo nai,beku mo nai,1,A,34,0,,,B,v1,,
beku shite,beku shite,1,A,36,0,,,B,v1,,
bun,bun,1,I,,0,,,B,v1,,
buri,buri,1,I,,0,,<-rai>,B,v3,,
chan,chan,1,B,,0,,<-sama>,C,v1,,
chau,chau,1,B,,0,,<shimau>,C,v1,,
chimau,chimau,1,B,,0,,<shimau>,C,v1,,
chinami ni,chinami ni,1,A,40,0,,,C,v1,,
chittomo,chittomo,1,B,,0,,<amari>,C,v1,,
chittomo~nai,chittomo~nai,1,A,334,0,,<nanra~2 nai>,C,v1,,
chū (ni),chū (ni),1,B,,0,,<uchi ni>,C,v1,,
chushin ni>> o chushin ni,chushin ni>> o chushin ni,1,,,0,,,C,,missing_ref;unbalanced,garble
chuto hanpani/na,chuto hanpani/na,1,A,318,0,,<namaji (kka)>,C,v1,,
da,da,2,B|I,,0,,<de aru> ;; <~wada>,D,v1,,
daga,daga,3,B|I,,0,,<ga> ;; <tokoro ga>,D,v1,missing_ref,missing_only
dai,dai,1,B,,0,,,D,v1,,
daiichi,daiichi,1,A,550,0,,<somosomo (no)>,D,v1,,
daitai,daitai,1,A,526,0,,<oyoso>,D,v1,,
dakara,dakara,3,A|B|I,745,0,,<shitagatte> ;; <sore de> ;; <yue ni>,D,v1|v3,,
(no) da kara,(no) da kara,1,A,615,0,,<to atte wa>,D,v1,,
dakara to itte,dakara to itte,2,A|I,635,0,,<to itte>,D,v1,,
dake,dake,5,A|B|I,146|219|42,0,,<(k) kiri> ;; <ippo (da)> ;; <nomi>,D,v1,,
dake atte,dake atte,2,A,45|47,0,,<dake ni>,D,v1,,
dake da,dake da,1,I,,0,,<ni suginai>,D,v1,,
dake de,dake de,1,I,,0,,,D,v1,,
dake demo,dake demo,1,A,54,0,,<dani>,D,v1,,
dake de naku,dake de naku,1,A,694,0,,<wa oroka>,D,v1,,
dake de (wa) naku~,dake de (wa) naku~,1,A,461,0,,<nomi narazu>,D,v1,,
~dake de (wa) naku 2 (mo),~dake de (wa) naku 2 (mo),1,B,,0,,,D,v1,,
- dake de (wa) naku (mo),- dake de (wa) naku (mo),1,I,,0,,<~bakari ka (sae)>,D,v1,,
~dake de (wa) naku,~dake de (wa) naku,1,A,240,0,,<kuwaete>,D,v1,,
2~dake de (wa) naku~(mo),2~dake de (wa) naku~(mo),1,I,,0,,<ni kagirazu>,D,v1,,
- dake de (wa) naku~(mo),- dake de (wa) naku~(mo),1,A,440,0,,<ni todomarazu>,D,v1,,
~2 dake de (wa) naku (mo),dake de (wa) naku (mo),1,I,,0,dake de (wa) naku (mo)|~2 dake de (wa) naku (mo),<o hajime (to shite)>,D,v3,,collision
dake de (wa) naku (mo),dake de (wa) naku (mo),1,I,,0,dake de (wa) naku (mo)|~2 dake de (wa) naku (mo),<ue (ni)>,D,v1,,collision
dakedo,dakedo,2,B,,0,,<daga> ;; <g>,D,v1,missing_ref,missing_only
dake ni,dake ni,1,A,47,0,,,D,v1,,
dake (no koto) da,dake (no koto) da,1,A,243,0,,<made (no koto) da>,D,v1,,
dake no koto wa aru,dake no koto wa aru,1,A,51,0,,,D,v1,,
dake no koto wa atte,dake no koto wa atte,1,A,45,0,,<dake atte>,D,v1,,
dani,dani,1,A,54,0,,,D,v1,,
dano,dano,1,A,57,0,,,D,v1,,
~da no~da no to,~da no~da no to,1,A,470,0,,<no no to>,D,v1,,
dara,dara,1,B,,0,,<-tara>,D,v1,,
darake,darake,1,I,,0,,,D,v1,,
daro,daro,1,B,,0,,,D,v1,,
darō,darō,3,I,,0,,<-yo> ;; <de arō> ;; <karō>,D,v1,missing_ref,missing_only
daro ga/to darō ga/to,daro ga/to darō ga/to,1,A,643,0,,<- to iwazu - to iwazu>,D,v1,,
darō ka,darō ka,1,A,715,0,,<yara>,D,v1,,
dasu,dasu,1,B,,0,,,D,v1,,
datte,datte,3,A|B,60|63,2,,""" because "" ;; "" too ; even "" ;; <-tatte>",D,v1,,collision
