term,slug,canonical,reading,meaning,senses,register,keigo,freq,jlpt,family,candidate_prereqs,fold_into_parent,confidence,review_reason,src_risk,src_volumes,src_glosses
(t) tatte ',tatte,たって,たって,"even if ~ (colloquial concessive, = 〜ても)",,casual-spoken,none,common,N3,conditional,te-mo|te-form,,med,colloquial 〜たって/〜ったって (=ても); OCR '(t)' marks the small-tsu variant,collision,A,""" even if """
(t) tatte²,tatte-2,たって,たって,even if one tries to ~ (colloquial concessive of attempted action),,casual-spoken,none,common,N2,conditional,te-mo|volitional-form,,med,homograph² of 〜たって ('even if one tries to'); verify split vs entry 1 (p594 vs p597),collision,A,""" even if s.o. tries to """
> hito/ichi to shite nai,to-shite-nai,〜として〜ない,としてない,not even one ~ (counter + として + negative),,written-modern|polite-spoken,none,uncommon,N2,adverbial,to-shite|nai-form|counter,,med,OCR-garbled '> hito/ichi to shite nai'; reconstructed 一(つ)として〜ない 'not a single' — verify | recheck: JLPT N2 として〜ない confirms 'not even one',garble,A,[ Counter ]
>> ni koshita koto wa nai,ni-koshita-koto-wa-nai,〜に越したことはない,にこしたことはない,there's nothing better than ~; it's best to ~,,casual-spoken|polite-spoken|written-modern,none,common,N2,modality,koto|ta-form,,med,OCR leading '>>' stripped; standard 〜に越したことはない,garble,A,
>> yori/no hoka (ni) (wa)~nai,yori-hoka-nai,〜より(の)ほか(は)ない,よりほかない,there is no choice but to ~; nothing but ~,,written-modern|polite-spoken,none,uncommon,N2,modality,yori|nai-form,,med,OCR '>>' stripped; 〜よりほかない/のほかはない 'no choice but',garble,A,
O,o-unresolved,,,ambiguous — bare 'O' from vol B; likely particle を or honorific お,,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,o,low,"garble: lone 'O' (short_term), no gloss — ambiguous を vs honorific お; slug parked as 'o-unresolved' until source-page check | recheck: NO external match — OCR fragment of を/お; drop candidate",garble,B,
ageru ',ageru,あげる,あげる,"to give (something to someone), from the giver's viewpoint",,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,,,high,,collision,B,""" s.o. gives s.t. to s.o . """
ageru²,ageru-2,〜てあげる,てあげる,to do something for someone (benefactive auxiliary),,casual-spoken|polite-spoken|written-modern,none,essential,N4,auxiliary,ageru|te-form,,high,,collision,B,""" s.o. gives s.o. a favor by doing s.t . """
aru,aru,ある,ある,to exist; to have (for inanimate things),,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,,,high,,collision,B,""" exist """
amari,amari,あまり〜ない,あまり,not very ~; not much ~ (paired with a negative),,casual-spoken|polite-spoken|written-modern,none,common,N5,adverbial,nai-form,,med,split from multi-sense 'amari' (degree+negative sense),collision,B|I,""" because of too much "" ;; "" s.t. is not great """
amari,amari-2,あまり(に)〜 / あまりの〜に,あまり,so much/so ~ that; because of too much ~,,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,adverbial,,,med,split from multi-sense 'amari' (excess/cause sense),collision,B|I,""" because of too much "" ;; "" s.t. is not great """
bakari de (wa) naku~(mo),bakari-de-wa-naku,〜ばかりで(は)なく(も),ばかりでなく,not only ~ (but also),,polite-spoken|written-modern,none,common,N3,connective,bakari|nai-form,,med,additive 〜ばかりでなく; homograph pair with '~2 ...' variant — verify sense split,collision,B|I,<~bakari ka 2 (sae)> ;; <~dake de (wa) naku~(mo)>
chushin ni>> o chushin ni,o-chushin-ni,〜を中心に(して),をちゅうしんに,centering on ~; with ~ as the focus,,polite-spoken|written-modern,none,uncommon,N2,connective,o,,med,OCR fused 'chushin ni>> o chushin ni'; standard 〜を中心に,garble,,
dake de (wa) naku (mo),dake-de-wa-naku,〜だけで(は)なく(も),だけでなく,not only ~ (but also),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,dake|nai-form,,med,additive 〜だけでなく; homograph pair with '~2' variant — verify sense split,collision,I,<ue (ni)>
datte,datte,だって,だって,because; but (casual sentence-initial reason or objection),,casual-spoken,none,common,N3,connective,,,med,split from multi-sense 'datte' (reason/objection sense); cf 〜たって,collision,A|B,""" because "" ;; "" too ; even "" ;; <-tatte>"
datte,datte-2,だって,だって,"even ~; ~ too (casual, ≈ でも/も)",,casual-spoken,none,common,N3,particle,,,med,split from multi-sense 'datte' (even/too sense),collision,A|B,""" because "" ;; "" too ; even "" ;; <-tatte>"
de,de,で,で,"particle で: means/instrument, place of action, time/limit, cause","[{""label"": ""means-instrument"", ""canonical"": ""〜で"", ""meaning"": ""by means of; with (instrument/method)""}, {""label"": ""time-limit-amount"", ""canonical"": ""〜で"", ""meaning"": ""at/in/within (time, amount, or scope)""}, {""label"": ""cause"", ""canonical"": ""〜で"", ""meaning"": ""because of; due to""}]",casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,med,particle で — multiple uses kept in one node; location-of-action handled by de',collision;missing_only,A|B,<ni oite/okeru> ;; <ni shite '> ;; <ni yotte/yori> ;; <te> ;; [ instrument ] ;; [ time ]
e,e,へ,え,particle へ marking direction/goal of movement (toward),,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,lone 'e' (short_term) but [direction] gloss pins particle へ,garble,B,[ direction ]
ga ',ga-2,が,が,particle が marking the grammatical subject,,casual-spoken|polite-spoken|written-modern,none,essential,N5,particle,,,high,,collision,B,[ subject marker ]
ga²,ga-3,が,が,conjunctive が meaning 'but' (contrast between two clauses),,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,,,med,contrastive 'but' が; overlaps the advanced connective が (ga),collision,B,""" but """
hikikae>> ni hikikae,ni-hikikae,〜にひきかえ,にひきかえ,in contrast to ~; unlike ~,,polite-spoken|written-modern,none,uncommon,N1,connective,ni,,med,OCR fused 'hikikae>> ni hikikae'; standard 〜にひきかえ,garble,,
ie domo> to ie domo,to-ie-domo,〜と言えども,といえども,even though ~; although ~ (formal/literary),,written-modern|literary,none,uncommon,N1,conditional,*to-quotative,,med,OCR fused 'ie domo> to ie domo'; literary concessive 〜と言えども,garble,I,
